Name,Is Fork,Commits,Branches,Default Branch,Releases,Contributors,License,Watchers,Stargazers,Forks,Size,Created At,Pushed At,Updated At,Homepage,Main Language,Total Issues,Open Issues,Total Pull Requests,Open Pull Requests,Last Commit,Last Commit SHA,Has Wiki,Is Archived,Languages,Labels,spring,test,checkstyle,maven,gradle,gradle_on_root,maven_usage_on_root,score
spring-projects/spring-boot,False,34667,14,main,112,371,Apache License 2.0,3404,57957,34883,141201,2012-10-19 15:02:57.0,2021-11-06 11:06:29.0,2021-11-07 07:24:06.0,https://spring.io/projects/spring-boot,Java,23355,507,4963,18,2021-11-06 11:06:14.0,c05223d9c888794e48bd764ffb1c82885c574022,True,False,"Java,HTML,Kotlin,Shell,JavaScript,Groovy,Ruby,Smarty,Dockerfile,Batchfile,Mustache,Vim Snippet,CSS","for: external-project,for: merge-with-amendments,for: stackoverflow,for: team-attention,for: team-meeting,status: back-port,status: blocked,status: declined,status: duplicate,status: feedback-provided,status: feedback-reminder,status: first-timers-only,status: forward-port,status: ideal-for-contribution,status: invalid,status: noteworthy,status: on-hold,status: pending-design-work,status: reserved-for-conference-event,status: superseded,status: waiting-for-feedback,status: waiting-for-internal-feedback,status: waiting-for-triage,theme: config-data,theme: datasource,theme: devtools,theme: inner-loop,theme: java-17,theme: kubernetes,theme: native,theme: observability,theme: performance,theme: profiles,theme: ssl,theme: testing,theme: web-error-handling,type: blocker,type: bug,type: dependency-upgrade,type: documentation,type: enhancement,type: epic,type: regression,type: task,type: wiki-documentation",1,4711,1,1,1,1,0,709.7733587901266
eugenp/tutorials,False,23120,2,master,0,316,MIT License,1530,28014,45053,325565,2013-04-29 18:26:36.0,2021-11-06 23:56:30.0,2021-11-07 05:21:50.0,http://bit.ly/github-lsso,Java,533,30,10886,39,2021-11-06 23:56:30.0,b5a2c9b50c7806c9b97dca01b4f8ca7e3fc6744f,True,False,"Java,JavaScript,HTML,TypeScript,CSS,Groovy,AspectJ,Shell,FreeMarker,RAML,ANTLR,SCSS,HCL,Kotlin,Scala,Python,Gherkin,Dockerfile,Batchfile,C++,Clojure,PLpgSQL,Solidity,Starlark,Smarty,XSLT,Rich Text Format,Mustache,Thrift,CLIPS,Pug,Makefile,R,Handlebars,Fluent","bug,duplicate,enhancement,in progress,invalid,on-jira,question,triaged,waiting-for-feedback,wontfix",1,11960,1,1,1,0,1,656.1445603989806
iluwatar/java-design-patterns,False,3170,231,master,0,259,Other,3901,71024,22131,28187,2014-08-09 16:45:18.0,2021-11-05 13:36:14.0,2021-11-07 04:57:17.0,https://java-design-patterns.com,Java,686,217,1197,43,2021-10-31 07:12:05.0,0a7b524bd10b0eb67ac6045d12415759b1dc7fd0,True,False,"Java,HTML,CSS,JavaScript,Gherkin","epic: architecture,epic: build issue,epic: code quality,epic: dependencies,epic: design,epic: developer wiki,epic: documentation,epic: ide issue,epic: pattern,epic: performance,epic: security,epic: web site,info: good first issue,info: hacktoberfest,info: help wanted,info: needs clarification,info: needs splitting,priority: high,priority: low,priority: normal,resolution: duplicate,resolution: fixed,resolution: invalid,resolution: won't fix,status: stale,status: under construction,status: under review,type: bug,type: docs,type: enhancement,type: feature,type: refactoring,type: support,type: task",1,1262,1,1,0,0,1,655.8976003496216
apache/camel,False,55050,46,main,0,324,Apache License 2.0,273,3975,4400,548735,2009-05-21 00:25:36.0,2021-11-04 19:20:14.0,2021-11-05 01:24:00.0,https://camel.apache.org,Java,0,0,6363,4,2021-11-04 18:32:12.0,6ea85fdc5d42ce32c62f7e85d0fb79db2956fb4b,False,False,"Java,Groovy,XSLT,HTML,JavaScript,Kotlin,Shell,Elm,RobotFramework,FreeMarker,Thrift,Apex,Dockerfile,CSS,Tcl,Batchfile,Jsonnet,XQuery,Mustache,Ruby","automated pr,backport camel-3.11.x,backport camel-3.4.x,backport camel-3.7.x,regen,spam",1,18347,1,1,0,0,1,430.318733405624
quarkusio/quarkus,False,26022,22,main,144,409,Apache License 2.0,230,8778,1587,137558,2018-07-06 00:44:20.0,2021-11-06 21:36:09.0,2021-11-07 06:01:35.0,https://quarkus.io,Java,9108,1730,12127,83,2021-11-06 21:36:08.0,a8f65f85c77fdc103e4719edb62272e110e2c7b7,True,False,"Java,Kotlin,HTML,JavaScript,Shell,ANTLR,Groovy,Mustache,Batchfile,CSS,Scala,FreeMarker,Dockerfile","area/adr,area/agroal,area/amazon-lambda,area/amazon-services,area/arc,area/artemis,area/bootstrap,area/build,area/cache,area/camel,area/cli,area/codestarts,area/config,area/container-image,area/continuous-testing,area/core,area/dependencies,area/dev-ui,area/devmode,area/devservices,area/devtools,area/documentation,area/elasticsearch,area/fault-tolerance,area/flyway,area/funqy,area/google-cloud-functions,area/gradle,area/graphics,area/graphql,area/grpc,area/health,area/hibernate-orm,area/hibernate-reactive,area/hibernate-search,area/hibernate-validator,area/housekeeping,area/infinispan,area/infra,area/infra-automation,area/jackson,area/jaeger,area/jaxb,area/jbang,area/kafka,area/kafka-streams,area/keycloak,area/keycloak-authorization,area/kogito,area/kotlin,area/kubernetes,area/liquibase,area/logging,area/mailer,area/mandrel,area/maven,area/metrics,area/mongodb,area/mutiny,area/narayana,area/native-image,area/neo4j,area/oidc,area/oidc-interoperability,area/openapi,area/optaplanner,area/panache,area/persistence,area/picocli,area/platform,area/quarkiverse,area/qute,area/reactive,area/reactive-messaging,area/reactive-sql-clients,area/reactive-streams-operators,area/redis,area/registry,area/rest-client,area/resteasy,area/resteasy-reactive,area/scala,area/scheduler,area/security,area/smallrye,area/spring,area/swagger-ui,area/testing,area/tika,area/tracing,area/undertow,area/undertow-websockets,area/user experience,area/vault,area/vertx,area/websockets,dependencies,env/graalvm-java11,env/windows,exploration,flaky-test,good first issue,hacktoberfest-accepted,help wanted,java,jep374,jira-import-test,kind/bug,kind/enhancement,kind/epic,kind/extension-proposal,kind/new-feature,kind/question,needs-reproducer,pinned,priority/blocker,priority/urgent,release/breaking-change,release/noteworthy-feature,triage/backport-1.11?,triage/backport-2.2?,triage/backport?,triage/ci-participant,triage/ci-platform,triage/consider-closing,triage/duplicate,triage/gsmet-christmas-list,triage/invalid,triage/moved,triage/needs-decision,triage/needs-rebase,triage/needs-review,triage/needs-triage,triage/on-ice,triage/out-of-date,triage/qe?,triage/regression,triage/requires-stuart,triage/test-case-failing,triage/upstream,triage/waiting-for-ci,triage/wontfix",1,12056,0,1,1,0,1,328.6381106889804
alibaba/druid,False,6498,14,master,43,155,Apache License 2.0,1788,24715,7914,65339,2011-11-03 05:12:51.0,2021-11-04 17:44:48.0,2021-11-05 02:55:51.0,https://github.com/alibaba/druid/wiki,Java,3370,2067,1167,120,2021-10-03 05:41:13.0,3b4e77034a6244ba8f78ddc26952e43f4dd26ab6,True,False,"Java,HTML,TSQL,JavaScript,PLSQL,CSS,Batchfile,Shell","Alibaba,Bug,Enhancement,Need Infos,New Feature,OldVersion,Pool,Question,SpringBoot,SQLParser,type/SoC2019",1,4417,1,1,0,0,1,309.62182014481846
nationalsecurityagency/ghidra,False,5689,3,master,16,168,Apache License 2.0,928,29488,3843,175755,2019-03-01 03:27:48.0,2021-11-04 11:24:44.0,2021-11-05 02:57:19.0,https://www.nsa.gov/ghidra,Java,2720,1020,677,144,2021-11-04 11:12:23.0,c788a0122800bf94f36b56a009c2980e8b34d7f9,True,False,"Java,C++,HTML,C,Python,Shell,Yacc,Xtend,GAP,Assembly,CSS,TeX,CMake,Hack,Lex,Batchfile,Objective-C,Makefile,XSLT,Haskell,PHP","Feature: Analysis,Feature: API,Feature: Assembler,Feature: Batch Importer,Feature: Bitfields,Feature: Build,Feature: Byte Viewer,Feature: C-Parser,Feature: Data Types,Feature: Database,Feature: Debugger,Feature: Decompiler,Feature: Demangler,Feature: Documentation,Feature: DWARF,Feature: Eclipse,Feature: Emulation,Feature: Exporter,Feature: Exporter/Binary,Feature: Exporter/C,Feature: Exporter/IDA,Feature: Extensions,Feature: FID,Feature: Filesystem,Feature: Functions,Feature: ghidra.jar,Feature: Graphing,Feature: GUI,Feature: Headless,Feature: Launch,Feature: Loader/Binary,Feature: Loader/COFF,Feature: Loader/DYLD,Feature: Loader/ELF,Feature: Loader/Mach-O,Feature: Loader/MZ,Feature: Loader/NE,Feature: Loader/PE,Feature: Loader/Unsupported,Feature: Loader/XML,Feature: Memory,Feature: PCODE,Feature: PDB,Feature: Platform/Linux,Feature: Platform/macOS,Feature: Platform/Windows,Feature: Processor,Feature: Processor/6502,Feature: Processor/68000,Feature: Processor/6805,Feature: Processor/8051,Feature: Processor/8085,Feature: Processor/AARCH64,Feature: Processor/ARM,Feature: Processor/Atmel,Feature: Processor/CP1600,Feature: Processor/HCS12,Feature: Processor/MCS-96,Feature: Processor/MIPS,Feature: Processor/PIC,Feature: Processor/PowerPC,Feature: Processor/RISC-V,Feature: Processor/SuperH,Feature: Processor/Tricore,Feature: Processor/Unsupported,Feature: Processor/v850,Feature: Processor/x86,Feature: Processor/Z80,Feature: Program Tree,Feature: Script Manager,Feature: Scripting/Java,Feature: Scripting/Python,Feature: Selection,Feature: Server,Feature: Sleigh,Feature: Symbol Table,Feature: Symbol Tree,Feature: Testing,Feature: Tool,Feature: Version Tracking,Feature: Website,Status: Cannot Reproduce,Status: Duplicate,Status: Internal effort,Status: Invalid,Status: OBE,Status: Out of scope,Status: Won't support,Status: Working as intended,Triage,Type: Bug,Type: Enhancement,Type: JDK Bug,Type: Performance,Type: Question,Type: Security,Type: Spelling/Typo",1,1612,0,0,1,1,0,260.85010061953466
apolloconfig/apollo,False,2617,14,master,33,95,Apache License 2.0,1311,25855,9443,49063,2016-03-04 10:24:23.0,2021-11-06 05:15:31.0,2021-11-07 05:49:02.0,https://www.apolloconfig.com,Java,2645,124,1318,8,2021-11-06 05:15:31.0,0e14333e1e4588ef2bf62daab1f1ef6467241732,True,False,"Java,HTML,JavaScript,Shell,CSS,Dockerfile,Mustache,Batchfile","announcement,area/adminservice,area/client,area/configservice,area/demo,area/docker,area/document,area/kubernetes,area/metaserver,area/mysql,area/openapi,area/operations,area/portal,area/quick-start,area/sdk,area/security,area/test,area/ui,bug,chore,dependencies,discussion,duplicate,enhancement,feature,feature request,good first issue,help wanted,info,invalid,kind/dependencies,kind/question,kind/report-problem,need investigation,nodejs,not-bug,observability,stale,status/fixed,status/need-feedback,summer-2021,TBD,tips,user-case,version release,vote,wontfix",1,507,0,1,0,0,1,244.17763227322303
apache/shardingsphere,False,30224,6,master,44,299,Apache License 2.0,973,14596,5049,419612,2016-01-18 12:49:26.0,2021-09-28 15:48:38.0,2021-09-28 14:09:21.0,,Java,5413,282,7322,11,2021-09-28 13:49:27.0,1a75e7c26de475871016d8a90475401948fb39be,True,False,"Java,ANTLR,Shell,Dockerfile,Batchfile","db: MySQL,db: openGauss,db: Oracle,db: PostgreSQL,db: SQLServer,feature: consensus-replication,feature: db-discovery,feature: DistSQL,feature: encrypt,feature: observability,feature: query-optimization,feature: readwrite-splitting,feature: scaling,feature: shadow,feature: sharding,feature: transaction,feature:agent,feature:authority,feature:show-process,good first issue,in: API,in: document,in: example,in: JDBC,in: kernel,in: metadata,in: proxy,in: spring,in: SQL parse,in: subquery,in: test,mode: cluster,mode: standalone,project: OSD2021,status: blocked,status: invalid,status: need more info,status: pending,status: volunteer wanted,status: won't fix,type: bug,type: build,type: community,type: dependencies,type: discussion,type: duplicate,type: enhancement,type: fixed,type: license,type: new feature,type: performance,type: question,type: refactor,type: release",1,5522,1,1,0,0,1,240.23705925262263
ctripcorp/apollo,False,2566,12,master,32,84,Apache License 2.0,1307,25284,9275,47679,2016-03-04 10:24:23.0,2021-08-25 01:23:15.0,2021-08-25 04:44:49.0,https://www.apolloconfig.com,Java,2554,144,1269,13,2021-08-25 01:23:15.0,64a6eafccb7f407621d3b8fb967bfb789e5b28bd,True,False,"Java,HTML,JavaScript,Shell,CSS,Dockerfile,Mustache,Batchfile","summer-2021,announcement,area/adminservice,area/client,area/configservice,area/demo,area/docker,area/document,area/kubernetes,area/metaserver,area/mysql,area/openapi,area/operations,area/portal,area/quick-start,area/sdk,area/security,area/test,area/ui,bug,chore,dependencies,discussion,duplicate,enhancement,feature,feature request,good first issue,help wanted,info,invalid,kind/dependencies,kind/question,kind/report-problem,need investigation,nodejs,not-bug,observability,stale,status/fixed,status/need-feedback,TBD,tips,user-case,version release,vote,wontfix",1,507,0,1,0,0,1,239.20704519600233
alibaba/arthas,False,1659,10,master,37,143,Apache License 2.0,1140,27564,6040,25896,2018-08-29 17:15:57.0,2021-11-05 06:19:07.0,2021-11-07 02:12:43.0,https://arthas.aliyun.com/,Java,1396,144,582,56,2021-11-04 09:06:48.0,3792ca30878544177ee458fa7a2c00f0c8d504e8,True,False,"Java,JavaScript,C,C++,HTML,Shell,Python,CSS,Batchfile,Roff,Objective-C,Makefile,Dockerfile,CMake,ActionScript,Groovy","4.0,bug,dependencies,disscuss,duplicate,enhancement,feature,help wanted,invalid,kind/feature-request,kind/research,not-a-bug,question-answered,question-unanswered,SoC2019,SoC2020,someday,user-case,wontfix",1,104,0,1,0,0,1,233.63071724358912
flowable/flowable-engine,False,12606,41,main,18,241,Apache License 2.0,246,4551,1831,205644,2016-10-13 07:21:43.0,2021-11-05 16:36:19.0,2021-11-06 06:09:50.0,https://www.flowable.org,Java,966,187,2128,15,2021-11-05 16:36:14.0,cee4406b950844c7bf3b6c4b3ef8bc6563454b55,True,False,"Java,JavaScript,HTML,CSS,PLSQL,SQLPL,Shell,TSQL,Handlebars,Mustache,Groovy,Dockerfile,Batchfile","bug,dependencies,documentation,duplicate,enhancement,good first issue,help wanted,invalid,java,question,ruby,wontfix",1,8612,0,1,0,0,1,211.411607446804
alibaba/nacos,False,3731,40,develop,41,200,Apache License 2.0,850,20159,8351,42890,2018-06-15 06:49:27.0,2021-11-04 09:30:55.0,2021-11-05 03:55:14.0,https://nacos.io,Java,4900,394,2172,10,2021-11-04 02:10:11.0,76aeb180d2c7586d853cafd9ced57e2aa65f9401,True,False,"Java,SCSS,Shell,JavaScript,TypeScript,Batchfile","area/Client,area/Config,area/DNS-Server,area/Document,area/Dubbo,area/Istio,area/Kubernetes,area/Nacos console,area/Nacos Core,area/Naming,area/Service Mesh,area/Spring,area/Spring Boot,area/Spring Cloud,area/Test,contribution welcome,dependencies,expired,follow up,go,good first issue,help wanted,java,kind/bug,kind/code quality,kind/discussion,kind/enhancement,kind/feature,kind/notice,kind/performance,kind/proposal,kind/question,kind/refactor,kind/research,kind/typo,kind/user experience,os/windows,pending,priority/blocker,priority/high,priority/low,priority/normal,priority/urgent,Soc2019,SoC2020,status/duplicate,status/inactive,status/invalid,status/lack env information,status/merge-conflict,status/more-info-needed,status/need discuss,status/need feedback,status/wontfix,Summer2021,version/2.x,weekly-report",1,878,1,1,0,0,1,205.7730229569539
seata/seata,False,1347,15,develop,31,219,Apache License 2.0,883,21069,6984,9035,2018-12-28 08:37:22.0,2021-11-05 16:08:38.0,2021-11-07 03:49:01.0,https://seata.io,Java,2328,510,1779,68,2021-11-05 03:16:45.0,a39d03b5b32617e444b7ec3154b8d411b3784cae,True,False,"Java,ANTLR,TypeScript,SCSS,Shell,Kotlin,Batchfile,Less,Python,Mustache,Lua,Dockerfile","apm,apm/skywalking,closed: declined,closed: duplicate,closed: invalid,closed: solved,closed: superseded,closed: temporarily-not-supported,DB: H2,DB: MySQL,DB: Oracle,DB: PgSQL,DB: PostgreSQL,DB: SQLServer,DL: MyCat,DL: Sharding-JDBC,Do Not Merge,first-time contributor,for: external-project,for: team-attention,for: team-meeting,good first issue,Impact Upgrade,mode: AT,mode: LCN,mode: SAGA,mode: TCC,mode: XA,module/common,module/compressor,module/config,module/console,module/core,module/discovery,module/distribution,module/integration,module/metrics,module/registry,module/rm,module/rm-datasource,module/saga,module/script,module/seata-spring-boot-starter,module/serializer,module/server,module/spring,module/sqlparser,module/tcc,module/test,module/tm,MQ: RocketMQ,ORM,ORM: JPA,ORM: MyBatis,ORM: MyBatis-Plus,priority: high,priority: low,priority: normal,priority: urgent,RM,RPC,RPC-Registry,RPC: Dubbo,RPC: Motan,RPC: SpringCloud,size: L,size: M,size: S,size: XL,size: XS,size: XXL,solution,solution/build,solution/MySQL,solution/Oracle,solution/RegistrationCenter,status: feedback-provided,status: feedback-reminder,status: help-wanted,status: inactive,status: merge-conflict,status: on-hold,status: to-be-discussed,status: to-be-supported,status: waiting-for-feedback,status: waiting-for-triage,Summer2021,TC,TC/store,testing/performance,testing/stress,theme: ASoC2020,theme: code style,theme: config,theme: DB support,theme: demo,theme: docker,theme: experience,theme: HA,theme: netty,theme: network,theme: performance,theme: storage,theme: wiki-document,TM,type: bug,type: bug-suspected,type: discussion,type: enhancement,type: feature,type: notice,type: optimize,type: question,type: refactor,type: solution,Upgrade Notice,waiting-for-triage,waitting-to-merge,website: seata.io,weekly-report,wontfix",1,845,1,1,0,0,1,205.6562295409111
apereo/cas,False,20276,25,master,195,279,Apache License 2.0,618,9037,3624,300445,2011-09-09 01:36:42.0,2021-11-07 06:29:43.0,2021-11-07 04:12:09.0,https://apereo.github.io/cas/,Java,0,0,3965,2,2021-11-05 16:11:20.0,32a5e5de26fd70c1229efe7d66676228c663d1fc,False,False,"Java,JavaScript,HTML,Shell,Groovy,Python,CSS,Ruby,Dockerfile","Acceptable Usage Policy,Acceptto MFA,Analytics & Statistics,Apache Cassandra,Apache Groovy,Apache Ignite,Apache Shiro,Apache Syncope,Apache Tomcat,Architecture & APIs,Attribute Consent,Attribute Release,Attribute Resolution,Audits & Logging,Authentication,Authentication Events,Authentication Policies,Authentication Throttling,Authorization & Access Strategy,AWS Cloud Directory,AWS DynamoDb,Basic Authentication,Bot,CAS Protocol,CI,ClearPass,Command-line Shell,Configuration,Configuration Discovery,Configuration Metadata,CosmosDb,Couchbase,CouchDb,Delegated Authentication Pac4J,Delegated Authentication WS-FED,Dependencies & Modules,Digest Authentication,Documentation,EhCache,Electrofence Risk-based AuthN,Email & SMS Notifications,GeoLocation,Gradle Build & Release,GUA,Hazelcast,Infinispan,Installation & Deployment,Internationalization,Interrupt Notifications,JAAS,java,JDBC & Hibernate & JPA,JGit,JWS & JWT AuthN & Tickets,LDAP & Active Directory,Logout & SLO,Memcached,MFA,MFA Authy,MFA Bypass,MFA Duo Security,MFA FIDO U2F,MFA Google Authenticator,MFA Swivel Secure,MFA Trusted Devices,MFA YubiKey,MongoDb,Monitoring,OAuth2 Protocol,OpenID Connect Protocol,OpenID Protocol,Pac4J,Password Encoding,Password Management,Password Policy,Pending,Pending: Work in Progress,Performance & Load Tests,Principal Resolution,Proposal Declined,Proxy Authentication,RADIUS,reCAPTCHA,Redis,Refactoring & Code CleanUp,Remember-Me,Remember: Needs Tests,Remember: Port Forward,REST Protocol & Integrations,SAML Core,SAML MDUI,SAML1 Protocol,SAML2 ECP,SAML2 Google Apps,SAML2 Protocol,SAML2 SP,See Contributor Guidelines,See Maintenance Policy,Service Expiration Policy,Services & Registries,Session Management,Shibboleth,Signing & Encryption,SPNEGO,Spring Boot,Spring Boot Admin Server,Spring Cloud,Spring Cloud Configuration Server,Spring Cloud Eureka Discovery,Spring Cloud Vault,Spring Cloud Zipkin,Spring Webflow,SSO & Cookies,Statistics & Metrics,Surrogate Authentication,Ticket Expiration Policy,Ticket Validation,Tickets & Registries,Unit/Integration Tests,User Interface & Themes,WS-FED Protocol,X.509",1,5951,1,0,1,1,0,200.08934965706786
camunda/camunda-bpm-platform,False,18431,90,master,0,180,Apache License 2.0,166,2306,1033,129370,2013-01-03 10:10:31.0,2021-11-05 16:03:27.0,2021-11-05 12:55:22.0,https://camunda.com/,Java,0,0,1652,37,2021-11-05 11:51:58.0,86d578aad83341666b72902341f908941d06cea3,True,False,"Java,JavaScript,FreeMarker,HTML,Less,SQLPL,Shell,Batchfile,CSS,Fluent,Groovy,Python,Ruby","all-as,all-db,authorizations,cockroachdb,db2,default-build,dependencies,e2e,h2,hacktoberfest-accepted,invalid,java,java-dependency-tree,javascript,jboss,jbosseap,mariadb,migration,mysql,needs triage,no-build,oracle,pipelines,postgresql,rest-api,rolling-update,run,security,spam,spring-boot,sqlserver,tomcat,webapp-integration,weblogic,websphere,wildfly",1,8306,0,1,0,0,1,196.03200067773818
apache/cxf,False,16526,22,master,0,170,Apache License 2.0,91,737,1298,122980,2014-02-19 08:00:08.0,2021-11-06 18:18:22.0,2021-11-06 21:48:24.0,https://cxf.apache.org,Java,0,0,865,38,2021-11-06 16:45:59.0,9e47ff2e4348fdf0cd40993965a67b21d3c7867b,False,False,"Java,JavaScript,XSLT,Shell,HTML,Batchfile,GAP,Perl,Rich Text Format,Groovy,Ruby,Dockerfile,CSS","bug,dependencies,duplicate,enhancement,invalid,question,wontfix,work-in-progress",1,8357,1,1,0,0,1,185.29012966475563
xuxueli/xxl-job,False,1692,12,master,30,52,GNU General Public License v3.0,941,19796,8405,32509,2015-11-28 12:59:34.0,2021-11-02 07:27:25.0,2021-11-03 02:46:38.0,http://www.xuxueli.com/xxl-job/,Java,2337,723,322,64,2021-08-18 13:45:34.0,9fe7aaa12e69ddb3cf99ee5681adbc32aa65ad54,True,False,"Java,Dockerfile","bug,duplicate,enhancement,experience sharing,help wanted/suggest,invalid,question,wontfix",1,39,0,1,0,0,1,185.28515902446236
alibaba/spring-cloud-alibaba,False,1838,7,master,25,113,Apache License 2.0,974,20546,6302,6706,2017-12-01 20:49:15.0,2021-11-05 11:45:58.0,2021-11-07 04:01:56.0,https://spring.io/projects/spring-cloud-alibaba,Java,1557,338,718,53,2021-11-01 02:09:41.0,1a146c726efcc7eccce508cb7251a88bc2fe1ce4,True,False,"Java,Shell,JavaScript,HTML","alicloud,bug,component bug,conflicts,dependencies,discussion,docs,dubbo,duplicate,enhancement,good first issue,help wanted,initializr,invalid,nacos,question,rocketmq,seata,sentinel,sidecar,SoC2019,SoC2020,to review,typo/format,waiting for feedback,wontfix",1,121,1,1,0,0,1,184.689593709873
alibaba/sentinel,False,713,24,master,18,148,Apache License 2.0,768,17749,6213,7214,2018-04-04 06:37:33.0,2021-11-03 16:05:51.0,2021-11-04 15:01:15.0,https://sentinelguard.io/,Java,1644,332,732,106,2021-09-15 02:13:36.0,0a34fc4d11392f0587e7ba5bf2626f902b23c750,True,False,"Java,JavaScript,HTML,CSS,Shell,Dockerfile,Starlark","api-change,area/adaptive-traffic-shaping,area/annotation,area/benchmark,area/ci,area/circuit-breaking,area/cloud-native,area/cluster-flow,area/concurrency-limiting,area/configuration,area/dashboard,area/data-source,area/document,area/example,area/flow-control,area/gateway-flow-control,area/hotspot-param-flow,area/integrations,area/logging,area/metrics,area/performance,area/polyglot,area/test,ASoC2020,dependencies,duplicate,good first issue,help wanted,inactive,integration/spring-cloud,invalid,java,javascript,kind/bug,kind/discussion,kind/enhancement,kind/feature,kind/notice,kind/question,kind/refactor,merge-conflict,priority/high,priority/low,priority/normal,priority/urgent,size/∞,size/L,size/M,size/S,size/XL,size/XS,size/XXL,SoC2019,SoC2021,to-review,typo/format,wait-for-feedback,weekly-report,wontfix",1,719,0,1,0,0,1,174.40922837886964
redisson/redisson,False,6896,3,master,101,105,Apache License 2.0,886,17711,4309,17664,2014-01-11 14:06:25.0,2021-11-04 13:57:57.0,2021-11-05 04:25:53.0,https://redisson.pro,Java,3482,207,440,25,2021-11-04 13:59:05.0,57406ae16ba21164033b4bc279a915825a30bf64,True,False,Java,"bug,dependencies,duplicate,enhancement,failover,feature,hibernate,invalid,new command,pubsub,quarkus,question,redis vendor bug,redis-cluster,suggestion,tomcat,wontfix",1,649,1,1,0,0,1,168.99078130190213
kiegroup/drools,False,15845,47,main,0,189,,285,3959,2128,231447,2011-02-18 08:37:05.0,2021-11-05 12:25:46.0,2021-11-05 15:08:08.0,http://www.drools.org,Java,0,0,3985,29,2021-11-04 16:42:30.0,48598c55e508bea64c234cad20bc5b9b6c1bfff3,False,False,"Java,GAP,Groovy,XSLT,ANTLR,HTML,ASL,Shell,Batchfile,Python,CSS,Ruby","6.5.x,dependencies,do-not-merge,dsl-test,Hacktoberfest,Kogito downstream,REBASE-NEEDED,waiting_for_CP,working_in_progress",1,6254,0,1,0,0,1,162.2812364447827
pinpoint-apm/pinpoint,False,12134,13,master,47,101,Apache License 2.0,763,11788,3498,235617,2014-10-20 09:27:22.0,2021-11-05 10:50:06.0,2021-11-06 13:23:16.0,https://pinpoint-apm.gitbook.io/,Java,3298,224,5058,33,2021-11-05 06:58:59.0,ad8b28853ac2cdd9685c43062127f0d1f61ad7ba,True,False,"Java,TypeScript,CSS,HTML,SCSS,Less,Thrift,Shell,JavaScript,Groovy,TSQL,Batchfile","bug,cleanup,configuration,dependencies,docker,document,enhancement,FAQ,help wanted,invalid,known-issue,lib-update,log,module:agent,module:batch,module:collector,module:flink,module:metric,module:plugin,module:project-common,module:test,module:web,notices,proposal,question,release,security,stale,test,troubleshooting,ui,waiting for review,wontfix",1,2853,1,1,0,0,1,154.62387299491533
activiti/activiti,False,10768,33,develop,28,195,Apache License 2.0,647,8143,6540,124547,2012-09-13 11:34:43.0,2021-11-06 08:54:31.0,2021-11-06 13:26:07.0,https://www.activiti.org,Java,1921,376,1826,44,2021-11-02 12:25:32.0,407f917f216c03580cf99757c5eeab0d946bf5f2,True,False,"Java,HTML,SQLPL","api,api-events,automation,blocked,blocking,BPMN,bug,cherry-pick,community-contribution,core,database schema migration,dependencies,DevOps,do-not-merge,documentation,duplicate,enhancement,Epic,feature-request,feedback-required,in progress,infrastructure,invalid,modeling-ui,priority1,priority2,priority3,priority5,process,question,quick,rant,ready-for-review,refactor-candidate,regression,release-notes-required,require-testing,risk,security,task,updatebot,WIP,wontfix",1,2886,1,1,0,0,1,149.2530881943402
keycloak/keycloak,False,13575,8,main,11,331,Apache License 2.0,336,10458,4048,166947,2013-07-02 13:38:51.0,2021-11-06 15:09:05.0,2021-11-07 05:57:51.0,https://www.keycloak.org,Java,0,0,8590,168,2021-11-05 15:39:40.0,58d403cf24e6d57d2776d6b85f914db3eecf331d,False,False,"Java,JavaScript,HTML,FreeMarker,TypeScript,CSS,Python,Shell,Scala,XSLT,Batchfile,Groovy,AMPL,Dockerfile,Gnuplot,Fluent","area/account/api,area/account/ui,area/adapter/fuse,area/adapter/java-cli,area/adapter/javascript,area/adapter/jee,area/adapter/jee-saml,area/adapter/nodejs,area/adapter/spring,area/admin/api,area/admin/fine-grained-permissions,area/admin/ui,area/authentication,area/authorization-services,area/ci,area/core,area/dependencies,area/dist/quarkus,area/dist/wildfly,area/docs,area/import-export,area/infinispan,area/ldap,area/oidc,area/saml,area/storage,area/testsuite,area/token-exchange,area/translations,area/user-profile,future,impact/high,impact/low,impact/medium,keycloak.x,kind/bug,kind/enhancement,kind/feature,missing/docs,missing/jira,missing/tests,priority/critical,priority/important,status/hold,status/implemented,status/in-review,status/needs-rebase,status/out-of-date,status/ready,status/requires-discussion,status/run-ui-tests",1,2544,0,1,0,0,1,147.51432048072
apache/nifi,False,6847,92,main,0,317,Apache License 2.0,188,2857,2140,190362,2014-12-12 08:00:05.0,2021-11-06 16:58:41.0,2021-11-06 21:55:10.0,https://nifi.apache.org/,Java,0,0,5495,86,2021-11-04 20:48:24.0,373498445fe589e2d4855a0730fbb9127f0b4452,False,False,"Java,JavaScript,Groovy,HTML,CSS,Shell,Handlebars,Batchfile,GAP,Python,Dockerfile,Ruby,SCSS,XSLT,Clojure,PLpgSQL,Lua,C++","bug,dependencies,duplicate,enhancement,hacktoberfest-accepted,help wanted,invalid,question,Stale,wontfix",1,5942,1,1,0,0,1,142.2592330427418
